id,long.dorsal,long.ventral,long.hypo,sum.long,short.dorsal,short.joint,short.ventral,short.sum,plate.count,dorsal.spine1,dorsal.spine2
PQ6,7,12,2,21,3,0,12,15,29,0.49,0.48
PQ7,7,13,2,22,1,1,14,16,30,0.52,0.61
PQ8,6,13,2,21,1,1,13,15,31,0.55,0.56
PQ9,6,13,1,20,2,1,13,16,32,0.54,0.59
PQ10,6,13,2,21,2,1,13,16,32,0.56,0.57
PQ11,5,12,2,19,2,2,14,18,31,0,0
PQ12,6,13,2,21,2,2,11,15,32,0.56,0.57
PQ13,7,14,1,22,1,1,13,15,32,0.57,0.62
PQ14,6,11,2,19,2,1,12,15,31,0.52,0.59
PQ15,6,12,2,20,2,1,13,16,32,0,0
PQ16,6,10,,16,1,1,13,15,34,0.54,0.56
PQ17,6,10,0,16,2,1,13,16,33,0,0.57
PQ18,5,12,2,19,2,1,12,15,32,0.56,0.49
PQ19,6,13,1,20,1,1,11,13,31,0.48,0.51
AL1,6,13,2,21,2,0,14,16,32,0.45,0.45
AL2,5,13,2,20,1,1,13,15,31,0.55,0.58
AL3,6,13,1,20,2,1,13,16,31,0,0.52
AL4,7,12,2,21,1,1,12,14,32,0.45,0.54
AL5,6,12,2,20,1,1,14,16,33,0.59,0.64
AL6,7,13,1,21,2,1,12,15,29,0.43,0.45
AL7,6,12,1,19,1,1,12,14,31,0.48,0.53
AL9,6,13,2,21,2,2,13,17,32,0.44,0.5
AL16,6,12,2,20,2,1,10,13,33,0.65,0.63
AL17,6,12,2,20,2,1,13,16,31,0.58,0.61
