id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic csize PC1 PC10 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 joint_sex ventral_rakers dorsal_rakers raker_long_count raker_short_count plate_count
SF2 SF 2014 GY wht wht M 1 177.109098228663 186 175.847423510467 183 170.640821256039 170 523.597342995169 539 -18.48 14.13 0.182999999999999 0.537000000000001 3.27397640527411 NA NA NA NA M 5.25 1.3 0.578 3.91 0.94 0.96 0.392261155 0.475 0.131703694 0.614269626 4.86004550466524 -0.00239122684204503 0.000117095685647658 -0.00245149315178868 -0.00107338714248917 -0.00276494633466628 0.0114369764557817 0.0118175399844804 -0.0190438103560773 -0.00264312730949559 -0.00832031967879681 M NA NA NA NA NA
SF22 SF 2014 GY wht wht F 1 204.767855509831 NA 189.82491998171 199 174.649977137631 183 569.242752629172 NA -18.56 14 0.238000000000001 0.316 3.35529650278763 1.46 0.0516397779494323 62 2.863 F NA NA NA 4.66 0.98 1.09 0.474956751 0.589 0.220169919 0.861129977 5.71146660815488 0.00642100995908267 -0.00889543710821618 0.00121188292915985 -0.00352280490765649 -0.00779095396617705 -0.000767581420122153 0.00318234372010218 -0.00270978613041887 0.00027341467860063 -0.000233495183342983 F NA NA NA NA NA
SF23 SF 2014 GY wht wht M 1 180.116495253165 208 166.496143196203 183 148.694323575949 155 495.306962025316 546 -18.08 13.66 0.583000000000002 0.0670000000000003 3.26668979875087 NA NA NA NA M 4.3 1.3 0.526 3.87 0.91 0.9 0.540124483 0.514 0.154637183 0.698612131 4.6490500950441 0.00810686221238815 -0.00602378420009582 0.00268674937683764 -0.00594579541248776 -0.00354634526833416 0.00615134853066657 -0.0182764651333601 -0.0107553683060508 -0.00681113291558227 0.00469008872549327 M NA NA NA NA NA
SF24 SF 2014 GY wht wht M 1 202.603021099744 67 189.249200767263 190 170.000479539642 168 561.85270140665 425 -17.46 14.32 1.203 0.727 3.31183757742601 NA NA NA NA M 5.95 1.3 0.697 4.16 0.93 0.94 0.517133693 0.544 0.185882299 0.769804703 5.06372780038855 -0.00259142934719458 0.0184022065160597 5.34583135131946e-05 0.00705001569969746 -0.0211362480449559 0.00117328894905568 0.0142579902258431 -0.0148314297307983 -0.0124133635129383 -0.00645713750339638 M NA NA NA NA NA
SF25 SF 2014 GY wht wht M 1 198.424429479985 199 183.06808829031 185 161.724747474747 160 543.217265245043 544 -18.49 13.12 0.173000000000001 -0.473000000000001 3.35283414975507 NA NA NA NA M 4.6 1.3 0.616 4 0.9 0.92 0.462763366 0.423 0.152282039 0.731290668 NA NA NA NA NA NA NA NA NA NA NA M NA NA NA NA NA
SF27 SF 2014 GY wht wht F 1 194.570697577277 201 176.408155806182 176 157.914578111947 158 528.893431495405 535 -18.98 12.76 -0.182000000000001 -0.924 3.33206019402643 1.335 0.120300549550791 62 2.613 F NA NA NA 4.19 1.03 1.08 0.499148242 0.519 0.167258989 0.744799895 5.235127996338 -0.00273436777474563 -0.010244821345651 -0.00143080720781085 -0.00879355081135726 -0.000724868497483186 -0.00214744579482916 -0.00415411664545503 -0.00670462764951049 0.000587906023045292 0.00281811628192508 F NA NA NA NA NA
SF28 SF 2014 GY wht wht F 1 190.567208672087 NA 175.663233965673 170 160.007136404697 158 526.237579042457 NA -19.01 13.59 -0.212000000000002 -0.094 3.35512732278045 1.405 0.083166499665831 58 2.886 F NA NA NA 4.59 1.1 1.11 0.371782413 0.544 0.12015487 0.802353816 5.73374077779177 -0.00369355805361834 -0.00144272716674288 -0.0106086891520283 -0.00380081573786356 -0.0103128276492313 0.0229574510164656 -0.0159581637141601 0.00712637787751645 0.00955546925032518 -0.0142629446993329 F NA NA NA NA NA
SF29 SF 2014 GY wht wht M 1 195.539068100358 207 182.054050179211 187 162.228960573477 161 539.822078853047 555 -18.88 13.86 -0.216999999999999 0.267 3.35165843330981 NA NA NA NA M 5.65 1.25 0.622 4.22 1 1.02 0.470291556 0.548 0.17494414 0.715492203 5.20004339009614 -0.00225351147822107 -0.0372988476438042 0.0109743728774938 -0.00556529671923103 -0.00929021062689301 -0.00128310878157552 0.0136432240890781 -0.00132099978845042 -0.0113271297471843 0.00258590384830255 M NA NA NA NA NA
SF3 SF 2014 GY wht wht M 1 187.763342830009 195 175.725482747705 182 161.756885090218 160 525.245710667933 537 -18.4 13.91 0.263000000000001 0.317 3.3959972500191 NA NA NA NA M 5.9 1.125 0.667 4.21 0.91 0.91 0.491561905 0.452 0.108797619 0.691197619 5.08784160137139 0.00902834998462971 0.00250597891492116 0.00697271741346045 0.00660232330778125 0.015941848093423 -0.00476098890403563 0.0197400458401816 0.00610859806343714 0.0107516193202109 0.00561442518745639 M NA NA NA NA NA
SF30 SF 2014 GY wht wht F 1 179.842974649407 168 169.430690399137 163 157.107672599784 154 506.381337648328 485 -19.51 13.29 -0.712000000000002 -0.394000000000001 3.36127689104788 1.36666666666667 0.0866025403784438 37 2.447 F NA NA NA 4.14 0.98 1.08 0.547830769 0.544 0.12015641 0.5711 5.1814394912691 0.00855648942121222 0.00348729627017198 -0.00652240958728568 -0.0026787551058875 0.0143764663664081 0.00279362245666849 0.0081881877850605 -0.0120122586430086 -0.0169888411788642 0.00452091485791866 F NA NA NA NA NA
SF32 SF 2014 GY wht wht F 1 183.81549044899 161 172.359375959708 173 155.346231803943 153 511.52109821264 487 -17.58 14.18 1.218 0.496 3.26513202437373 1.11 0.110050493461461 70 1.575 F NA NA NA 4.29 0.96 1.01 0.365102486 0.623 0.141112996 0.780602288 5.40427891932684 0.00611261173253183 0.0271236029224282 -0.00355699929515017 -0.00927202041862425 0.0272648002702587 -0.0108733081970885 0.00170215941070755 0.0150407256086521 0.0049394686420256 0.0112387024915451 F NA NA NA NA NA
SF33 SF 2014 GY wht wht M 1 187.364108069422 66 179.515059342757 67 167.10854654977 163 533.987713961949 296 -18.73 13.61 -0.0670000000000005 0.0169999999999996 3.39597741707833 NA NA NA NA NA NA NA NA 4.2 0.96 0.99 0.481835594 0.459 0.158386343 0.615351481 5.05255360813381 -0.00195853803114976 0.0102454009463584 -0.0150844790021916 -0.0101332933103327 0.0105779603464407 -0.00152671533353916 -0.00711150894766602 -0.00997878471246513 0.00913957342257039 -0.0093026042683575 M NA NA NA NA NA
SF4 SF 2014 GY wht wht F 1 197.948550724638 209 195.879388083736 201 191.157809983897 191 584.985748792271 601 -19.79 13.3 -0.991999999999999 -0.383999999999999 3.31287308590709 NA NA NA NA NA NA NA NA 3.93 0.86 0.89 0.457354688 0.524 0.142853402 0.538502563 4.88129307293968 0.00844180067487268 0.00319352881021683 0.00240807516780151 -0.000438939760563509 -0.0135710654643317 0.00118196193143061 -0.0129047560545434 -0.0255285613920198 5.60825417917144e-05 -0.00211043023496718 F NA NA NA NA NA
SF5 SF 2014 GY wht wht F 1 178.57624443317 176 168.027566379165 162 156.510288065844 156 503.114098878178 494 -18.88 13.17 -0.081999999999999 -0.514 3.34146866700165 1.475 0.0824957911384306 45 3.08 F NA NA NA 4.15 0.99 1.01 0.498965503 0.556 0.141417725 0.703617286 5.18335467653497 0.00856607928599721 -0.00315903904426801 0.000417096467327022 -0.0106768507755456 -0.069406911234996 0.0146989528345097 -0.00956009892737002 -0.00411632307891776 -0.00412041985014231 -0.00639565412608027 F NA NA NA NA NA
SF58 SF 2014 GY cmn cmn M 1 185.317440711462 190 170.604290184453 166 155.218338274045 157 511.14006916996 513 -19.92 13.75 -1.257 0.157 3.40915942861245 NA NA NA NA M 5.35 1.5 0.849 4.99 1.19 1.18 0.355950904 0.344 0.117847545 0.73501292 6.14042131502904 0.0156239377012443 -0.00305592598009972 -0.00378337367314573 0.0160774801315274 -0.0387247674574517 -0.00489875207001594 0.00649577997930431 0.00883552031178608 -0.000653487450116651 0.00733509593122377 M NA NA NA NA NA
SF7 SF 2014 GY wht wht M 1 171.764587700908 184 167.496942697414 176 158.012229210342 161 497.273759608665 521 -18.66 12.81 0.00299999999999973 -0.782999999999999 3.27214835549335 NA NA NA NA M 3.6 1.3 0.47 3.79 0.84 0.84 0.27867124 0.331 0 0.42575725 NA NA NA NA NA NA NA NA NA NA NA M NA NA NA NA NA
SF83 SF 2014 GY wht wht F 1 183.418703007519 104 169.054981203008 134 153.875730994152 128 506.349415204678 366 -18.9 13.96 -0.101999999999999 0.276000000000001 3.413322331408 1.31 0.0774596669241483 65 2.422 F NA NA NA 4.39 1.02 1.08 0.441496904 0.435 0.128511173 0.710354995 5.40210584308748 0.0249330148690922 0.00161858420234502 8.98380401148723e-05 0.00960645287448605 -0.0201244593071314 0.00471050433091107 0.00209086420358734 -0.00994221645684009 0.00100375065928373 9.28779778999228e-05 F NA NA NA NA NA
SH1 SH 2014 GY cmn cmn F 1 139.470297619048 104 138.751091269841 104 137.185297619048 157 415.406686507937 365 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.5 1.33 1.41 0.639098249 0.662 0.160863862 0.906566014 7.01969391753128 -0.00349463068569077 -0.00957988124390985 -0.0097774656420737 0.00844647408221305 -0.0466334430524775 0.00573587206439003 0.0140131803793769 -0.00112809804097728 0.0109516596306731 -0.00164693594857939 F NA NA NA NA NA
SH10 SH 2014 GY wht cmn F 1 157.023022312373 169 155.994244421907 168 153.886713995943 163 466.903980730223 500 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.31 1.23 1.23 0.502448003 0.612 0.27497337 0.810794882 6.62624903058876 0.0135454141040237 -0.00504781444503341 -0.000155959754560058 0.0049179883019579 0.00581126281647247 0.0061459427477808 0.0106324445364979 -0.00602895440137891 -0.00733565669267315 -0.00410535510110154 F NA NA NA NA NA
SH11 SH 2014 GY cmn cmn F 1 160.240907118056 98 159.692881944444 100 158.629991319444 179 478.563780381944 377 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.38 1.31 1.34 0.610775255 0.632 0.096517838 0.804319311 6.79123336592347 0.011118147867242 0.0040919124510554 0.0250348296491656 -0.00141077798777605 -0.00888857218732703 -0.00305512086876608 0.0033595547807571 -0.000466114658684397 0.00204699412490812 -0.000473851617755621 F NA NA NA NA NA
SH12 SH 2014 GY wht cmn F 1 156.744859307359 167 154.173520923521 163 150.998015873016 160 461.916396103896 490 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.32 1.17 1.24 0.582601449 0.635 0.144927536 0.765376812 6.61155922679651 -0.00621946101675286 0.00523428039903054 0.00245412764294659 0.0040169315587971 -0.0319583209177586 -0.00716204543482234 -0.00268397856520101 0.00654126835469465 -0.003029910042639 -0.00366765462062957 F NA NA NA NA NA
SH13 SH 2014 GY wht wht F 1 168.236998050682 184 162.558674463938 174 153.888304093567 160 484.683976608187 518 NA NA NA NA NA NA NA NA NA NA NA NA NA 4.6 1.05 1.14 0.420232614 0.562 0.155635492 0.820270983 5.75099780598555 0.00993503134535874 0.00513140155939525 0.0110274009563441 0.00836885285230552 -0.0227253201606484 0.00797538015271896 -0.00292009504993156 0.00954646483489186 -0.0230395826280071 0.00293612698062418 F NA NA NA NA NA
SH14 SH 2014 GY wht wht F 1 160.538019451813 165 157.51846939778 163 150.748256213773 159 468.804745063366 487 NA NA NA NA NA NA NA NA NA NA NA NA NA 4.22 1.01 1.04 0.507440624 0.487 0.151305159 0.76932497 5.32996278118494 -0.00163056138955299 -0.00836055412511151 0.0080995388112902 0.0109331086822512 0.0176840298340896 0.00137633279392693 0.000756764436856075 -0.0039790099541085 0.00460916173096923 0.00664497943184194 F NA NA NA NA NA
SH16 SH 2014 GY cmn cmn F 1 162.279309006211 187 158.448054153727 183 154.608428765528 175 475.335791925466 545 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.14 1.27 1.33 NA NA NA NA 6.53734158507525 0.00950159491787794 -0.000841087237241408 0.00558765598738873 0.00548002616229255 -0.0412980587547249 -0.0128235288389953 0.00325969554696139 -0.00101326443294236 -0.0133022732578931 -0.00173932376351545 F NA NA NA NA NA
SH18 SH 2014 GY cmn cmn M 1 156.973623551106 102 151.880499209694 167 144.496015542677 157 453.350138303477 426 NA NA NA NA NA NA NA NA NA M 7.25 1.55 0.883 4.87 1.17 1.21 0.521317946 0.604 0.227477742 0.897660433 5.98100490125483 -0.00119159184314513 -0.00489084765171959 -0.0156447793032138 0.000518270994230155 -0.0287168165791698 -0.00153805044803696 0.00542688651550744 0.00988064772860803 -0.0010819307545753 0.0262130171724097 M NA NA NA NA NA
SH19 SH 2014 GY cmn cmn M 1 141.162813479624 157 139.772279444693 155 137.255345947156 146 418.190438871473 458 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.06 1.17 1.18 0.45162079 0.549 0.123723252 0.707087947 6.21404209821151 0.00410235838153336 -0.00205192476003952 0.00224223013009353 -0.0253118497433968 0.0031791093642548 -0.00382803158410401 0.0102316452428408 0.0057851930608969 0.00845832228312297 -0.00611325575097813 M NA NA NA NA NA
SH2 SH 2014 GY cmn cmn M 1 146.41775 158 147.093083333333 158 147.750125 157 441.260958333333 473 NA NA NA NA NA NA NA NA NA M 5.1 1.25 0.462 4.73 1.09 1.06 0.546603376 0.575 0.17638944 0.833118822 5.88650567576765 0.00666398443431171 -0.0109378165437552 0.00828514852540002 -0.000328976204000657 -0.0406969436705904 0.00991156794729339 -0.00564782042937315 0.00081582719003722 -0.014562424925792 -0.00181314692213245 M NA NA NA NA NA
SH20 SH 2014 GY wht cmn M 1 141.526557377049 158 141.196762295082 156 139.082336065574 147 421.805655737705 461 NA NA NA NA NA NA NA NA NA M 6.25 1.5 0.88 4.79 1.07 0.99 0.555413327 0.575 0.133602066 0.719473581 5.93612328094385 0.0195555189676191 -0.00325140652196923 0.00986375958490265 -0.000469234864845472 -0.000136419284020237 0.0100876445973773 -0.00469362125692292 -0.00954659309958196 0.00912454622490148 0.000508842130926181 M NA NA NA NA NA
SH4 SH 2014 GY wht cmn F 1 151.317730880231 178 146.830248917749 167 143.366847041847 160 441.514826839827 505 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.57 1.3 1.42 0.47042644 NA 0.193572831 0.9236447 7.09580433189659 -0.00821456213874558 0.000739964524588159 0.000763735545780356 -0.00129874987370952 -0.0133242128572498 0.00143748975201639 -0.00178150432684852 0.00425784599847027 0.00533923923946134 0.00338460238294943 F NA NA NA NA NA
SH5 SH 2014 GY wht wht F 1 145.476010789015 100 140.950209786399 102 135.399411508282 158 421.825632083697 360 NA NA NA NA NA NA NA NA NA NA NA NA NA 6.11 1.44 1.44 0.57113285 0.661 0.239021739 1.016147343 7.5809988352571 -0.00123574978758704 -0.0160544098235698 0.00962025438902814 0.00487154218636674 0.0587266709249252 0.00675651646797597 0.00311832276778411 -0.00151790044443164 0.0118393765726936 -0.0141091880735299 F NA NA NA NA NA
SH6 SH 2014 GY wht wht F 1 137.650726990401 158 132.165372670807 155 124.109366177301 133 393.925465838509 446 NA NA NA NA NA NA NA NA NA NA NA NA NA 4.68 1.12 1.22 0.385888298 0.442 0.165239571 0.710717831 5.92762107778239 0.00315556229921275 -0.00619397109932759 0.0268537514394214 -0.0033063484580683 6.13722795699692e-05 0.0080406475141145 -0.0111751658832243 -0.00266269774676732 0.0188248567916942 -0.0185411769352018 F NA NA NA NA NA
SH7 SH 2014 GY cmn cmn F 1 152.904308542413 181 150.988556600956 176 148.653543160096 165 452.546408303465 522 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.56 1.38 1.43 0.600007246 0.629 0.179265701 0.887021739 7.07370303156943 0.00805635046290468 0.00476089074347764 0.015267108672604 -0.00196746022378191 -0.064165739470314 0.0055271765627299 -0.0095380229539189 -0.0049468261935457 0.0113495055918186 -6.98477127317931e-05 F NA NA NA NA NA
SH8 SH 2014 GY wht cmn F 1 148.293600643382 161 147.341643688725 159 144.723747702206 157 440.358992034314 477 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.73 1.3 1.38 0.600515445 0.69 0.194434447 0.913478144 7.16810209029372 0.00363982991406418 -0.00768307051970679 0.0106803673094736 -0.000819691438202679 -0.0363743819291741 -0.0054994855625429 0.00362272974143877 -0.0048781308501644 0.018332935316813 -0.00203786104204887 F NA NA NA NA NA
SK1 SK 2014 CB cmn cbr M 1 149.054071428571 102 144.570607142857 162 133.627821428571 149 427.2525 413 NA NA NA NA NA NA NA NA NA M 7.75 1.4 1.257 4.76 1.11 1.12 0.390734564 0.487 0.121263888 0.750124384 5.90888843000854 0.0101542345433708 -0.0018536864084961 0.0107291645473514 0.0193042466218699 -0.0287859620094365 0.00952137572056358 0.0101410252038657 -0.00295188186432942 0.013875776001598 0.00143709122051126 M NA NA NA NA NA
SK10 SK 2014 CB cmn cbr M 1 183.609080981183 189 174.022933467742 177 158.694556451613 159 516.326570900538 525 NA NA NA NA NA NA NA NA NA M 6.8 1.1 0.846 4.72 1.07 1.12 0.561770694 0.637 0.166976735 0.806326419 5.83939660700816 0.004886578345007 -0.00371234501494224 0.0155920078085604 0.0261397379673742 -0.0456806902527446 -0.00460228843203977 -0.0116408559828106 0.00151312649797079 0.0102274629393118 -0.013604050200079 M NA NA NA NA NA
SK12 SK 2014 CB cmn cbr M 1 161.242146164021 184 143.916143077601 158 125.255042989418 128 430.413332231041 470 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.37 1.29 1.32 0.624662219 0.571 0.179391662 0.831240418 6.73032375784517 0.0145363431334562 0.0137002281472791 0.00557585804298278 -0.00564042947514312 -0.0216580392720705 0.00696069825791158 -0.00890709459484721 -0.00403014219206975 0.00202382838103436 -0.0128560658148267 M NA NA NA NA NA
SK13 SK 2014 CB cmn cbr M 1 180.675041356493 NA 168.38577853598 187 151.886786600496 156 500.947606492969 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.45 1.25 1.29 0.412764136 0.436 0.15382801 0.683106608 6.66179851678819 -0.0192390020381758 0.00475538972605795 -0.0081246706414136 0.00195261999102555 -0.0119399515309024 -0.00233693742304489 -0.0123760988513229 -0.00770050645496254 0.00405299157954613 -0.00763352174803088 M NA NA NA NA NA
SK14 SK 2014 CB cmn cbr M 1 169.262745098039 184 148.702475490196 157 128.266838235294 128 446.232058823529 469 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.35 1.28 1.32 0.541949991 0.53 0.18525071 0.678473996 6.64014271959978 0.00557646332128026 0.00359923252496247 0.009742319880978 0.0051196189877901 -0.015801184178006 -0.00931947497341456 0.0024189136032986 -0.00537534410566322 -0.00204018829383321 0.00601272820871857 M NA NA NA NA NA
SK15 SK 2014 CB cmn cbr F 1 178.846024487031 206 167.384823848238 140 152.913194444444 137 499.144042779714 483 NA NA NA NA NA NA NA NA NA NA NA NA NA 6.89 1.53 1.5 0.388822569 0.465 0.142933552 0.744323173 8.72484998446872 -0.00584610010424856 0.00324368318738177 0.020978711111004 -0.00874926893756732 0.0475998009647497 -0.00708234416095185 -0.0357707349831861 -0.0191931470815387 0.00603032961944426 0.00683061260943474 F NA NA NA NA NA
SK17 SK 2014 CB cmn cbr F 1 127.147667342799 153 125.694599391481 146 125.923732251521 128 378.765998985801 427 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.31 1.19 1.22 0.644477066 0.631 0.20000049 0.744566762 6.5294027309368 0.0335999296815163 0.00907498532723654 0.00482970867180894 0.00673070520022195 -0.0105000243548032 -0.00594764880181255 0.00803860158448019 -0.000859846785361438 -0.0109833539719361 0.00376845913763246 F NA NA NA NA NA
SK19 SK 2014 CB cmn cbr M 1 142.202398408044 100 139.786316506075 158 131.23099078341 141 413.219705697528 399 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.15 1.2 1.19 0.522294404 0.572 0.206454988 0.789537713 6.25194982546876 0.00139996489117808 -0.0088858582131776 -0.0104598060470882 -0.0152547809684045 0.0251548668569143 0.0016452122993756 0.00157899501447092 -0.0125854964251783 0.00534801323121977 0.00149812465198989 M NA NA NA NA NA
SK24 SK 2014 CB cmn cbr F 1 138.831310054907 151 135.306408716541 128 134.550360329444 126 408.688079100892 405 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.42 1.31 1.31 0.51777203 0.542 0.190335539 0.805019817 6.78540655158144 0.0150021581340941 -0.00518218360087529 -0.0105504985131648 -0.00451546902638073 -0.00460608554698272 0.00867879455010075 -0.00529628976702655 -0.00374279458194778 -0.0117143410125349 -0.00425974231496034 F NA NA NA NA NA
SK25 SK 2014 CB cmn cbr F 1 146.258476965206 97 141.161626127577 102 135.721387725515 157 423.141490818299 356 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.55 1.3 1.31 0.531233227 0.547 0.212084968 0.692564661 6.99504344806145 0.00477477794649529 0.00407782330098554 0.00358925609242351 0.00405650838269556 0.0438774352259617 -0.00119566729109593 -0.00873742735355311 -0.0146330899526908 -0.000193726495777918 -0.00846568330131368 F NA NA NA NA NA
SK26 SK 2014 CB cmn cbr M 1 128.290858477011 157 127.05621408046 156 125.785739942529 152 381.1328125 465 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.18 1.16 1.14 0.427471318 0.408 0.126501491 0.706015279 6.36615983512658 -0.0133954443424741 -0.00575148793601463 0.0120815701647168 -0.0134643277517013 0.0401280464836265 0.00782544955001125 0.0127512259618685 0.00189078668485896 0.0102358930242071 -0.00385480678880155 M NA NA NA NA NA
SK30 SK 2014 CB cmn cbr M 1 124.399563772331 152 115.407639177399 133 107.068160573328 125 346.875363523058 410 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.32 1.21 1.21 NA 0.76 0.250431373 0.941291667 6.42128640455012 -0.00847256048779046 0.00822223553288809 0.0109456507455372 -0.00995600107502219 -0.00420569163031393 -0.00484862382003968 -0.0046608779398759 0.0162402075772584 0.0159437823810899 0.00383517636576638 M NA NA NA NA NA
SK36 SK 2014 CB cmn NA NA 1 136.915539321789 138 132.245986652237 134 127.685425685426 128 396.846951659452 400 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SK4 SK 2014 CB cmn cbr F 1 181.566463461391 130 165.987692661606 134 147.720420213174 152 495.274576336171 416 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.77 1.36 1.42 0.550846154 0.644 0.145951282 0.584817949 7.26526569820491 -0.0302112509200942 0.0071082589069861 0.00723746405290071 -0.0113471920160487 0.0288535910574674 -0.012349198308697 -0.00953810693851864 0.00743674289902003 0.000821407309708713 0.0132404348143919 F NA NA NA NA NA
SK7 SK 2014 CB cmn cbr F 1 172.229059300488 185 159.952123273552 159 146.768226482512 146 478.949409056552 490 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.98 1.41 1.49 0.27721978 0.36 0.158319771 0.492315184 7.54167427105723 -0.00785406367918722 -0.0059051604309761 0.00166511876552513 0.00199018465364099 0.0413097328815835 0.00452025872474715 -0.00507313811089063 -0.00877243306305464 -0.00541094255949903 0.0105892008243069 F NA NA NA NA NA
SK8 SK 2014 CB cmn cbr M 1 192.286126373626 205 185.693956043956 179 171.417765567766 168 549.397847985348 552 NA NA NA NA NA NA NA NA NA M 5.9 1.475 1 4.88 1.15 1.12 0.603040733 0.615 0.215936457 0.853250028 5.98223122533943 0.0174191787401596 0.00348921154344363 -0.00916349599905419 0.00194715326158903 -0.0412470986074349 -0.00741514651969822 0.0222135328221912 -0.00602439563126738 -0.00303964973462197 0.00253956524662576 M NA NA NA NA NA
SP1 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SP2 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SP3 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SP4 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SP5 SP 2014 GY cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
SR1 SR 2014 GY wht cmn F 1 182.817437232088 197 181.749349357012 191 179.759376913656 189 544.326163502756 577 -18.69 13.25 -0.348000000000002 -0.3045 3.27044368600683 0.715 0.105540934659917 53 0.777 F NA NA NA 5.05 1.06 1.09 0.602867544 0.486 0.095828443 0.729111857 6.15831582601579 -0.00264862186612758 -0.00415939833123313 -0.000632026360914991 -0.0146817884663977 0.022499793796019 0.0192924532486271 -0.0222758018313513 -0.0038899357896096 -0.000976053660594823 0.00803014353209403 F NA NA NA NA NA
SR105 SR 2014 GY wht wht F 1 177.926697530864 102 176.451697530864 101 177.151466049383 102 531.529861111111 305 -18 14.16 0.342 0.6055 3.27614391566725 0.8 0.0666666666666667 39 0.977 F NA NA NA 3.87 0.88 0.91 0.664836139 0.635 0.190827189 0.994198732 4.98695510404926 0.00146928989317724 -0.00769485559768601 0.0016758367118804 0.00481598949243874 0.0180857368082572 -0.0104600652896086 -0.00779178632800757 0.010547557726603 0.00167882873012485 -0.0157912771871961 F NA NA NA NA NA
SR107 SR 2014 GY wht wht F 1 174.932748538012 186 174.72424651372 186 176.279633378318 187 525.936628430049 559 -18.62 13.94 -0.278000000000001 0.3855 3.33941707147814 1.035 0.0709068246206089 40 1.976 F NA NA NA 4.28 0.96 1.01 0.448505235 0.431 0.130759757 0.667201679 5.27339296209237 0.00610006922286602 0.00353535056755432 0.0120970868349397 0.0154676546352185 0.0156570466542793 0.00867578418593947 0.00171168331066538 0.00499052631594813 -0.00788479031393994 -0.000752220353281148 F NA NA NA NA NA
SR113 SR 2014 GY wht cmn F 1 170.059737318841 190 167.067346014493 189 165.515240036232 188 502.642323369565 567 -18.9 13.11 -0.557999999999999 -0.4445 3.28303018189087 0.965 0.052967495273569 117 1.358 F NA NA NA 5.54 1.25 1.24 0.551861158 0.596 0.170786421 0.81819815 6.83231740608677 -0.0179168477230474 -0.00759513034852059 -0.000469995403090976 0.00924290071340624 0.00602972105070427 -0.0156601680345916 0.00321403735422992 -0.00662199666259899 -0.00165838939585023 -0.00612649425408709 F NA NA NA NA NA
SR114 SR 2014 GY wht wht M 1 169.02608311229 99 162.0324933687 177 153.22192749779 160 484.28050397878 436 -18.04 14.39 0.126250000000001 0.31625 3.42510229496531 NA NA NA NA M 5.6 1.4 0.583 3.96 0.84 0.89 0.556352564 0.586 0.122044648 0.573686504 4.80609242873626 -0.0288899121066567 -0.00457156625790759 0.012520611362182 0.00774384146620244 0.0394197122813688 -0.0174358533168078 0.0079150454105568 0.00770124877576678 -0.00243075015134156 0.000283306067257942 M NA NA NA NA NA
