id pop sex pop_cluster cluster
MR1_2014 MR M MR_cbr cbr
MR10_2014 MR F MR_cbr cbr
MR14_2014 MR M MR_cbr cbr
MR15_2014 MR M MR_cbr cbr
MR17_2014 MR F MR_cbr cbr
MR18_2014 MR M MR_cbr cbr
MR2_2014 MR F MR_cbr cbr
MR3_2014 MR F MR_cbr cbr
MR4_2014 MR M MR_cbr cbr
MR47_2014 MR F MR_cbr cbr
MR53_2014 MR F MR_cbr cbr
MR57_2014 MR M MR_cbr cbr
MR58_2014 MR M MR_cbr cbr
MR7_2014 MR F MR_cbr cbr
MR8_2014 MR F MR_cbr cbr
MR9_2014 MR M MR_cbr cbr
RT20_2014 RT M RT_wht wht
RT21_2014 RT M RT_wht wht
RT22_2014 RT M RT_wht wht
RT23_2014 RT M RT_wht wht
RT40_2014 RT F RT_wht wht
RT42_2014 RT M RT_wht wht
RT43_2014 RT M RT_wht wht
RT46_2014 RT F RT_wht wht
RT47_2014 RT F RT_cmn cmn
RT48_2014 RT F RT_wht wht
RT49_2014 RT M RT_wht wht
RT50_2014 RT F RT_wht wht
RT54_2014 RT F RT_wht wht
RT55_2014 RT F RT_wht wht
RT60_2014 RT M RT_wht wht
RT62_2014 RT F RT_cmn cmn
SF1_2014 SF F SF_cmn cmn
SF10_2014 SF F SF_wht wht
SF12_2014 SF M SF_cmn cmn
SF2_2014 SF M SF_wht wht
SF22_2014 SF F SF_wht wht
SF23_2014 SF M SF_wht wht
SF24_2014 SF M SF_wht wht
SF25_2014 SF M SF_wht wht
SF27_2014 SF F SF_wht wht
SF28_2014 SF F SF_wht wht
SF29_2014 SF M SF_wht wht
SF3_2014 SF M SF_wht wht
SF30_2014 SF F SF_wht wht
SF32_2014 SF F SF_wht wht
SF33_2014 SF M SF_wht wht
SF4_2014 SF F SF_wht wht
SF5_2014 SF F SF_wht wht
SF58_2014 SF M SF_cmn cmn
SF7_2014 SF M SF_wht wht
SF83_2014 SF F SF_wht wht
SH1_2014 SH F SH_cmn cmn
SH10_2014 SH F SH_cmn cmn
SH11_2014 SH F SH_cmn cmn
SH12_2014 SH F SH_cmn cmn
SH13_2014 SH F SH_wht wht
SH14_2014 SH F SH_wht wht
SH16_2014 SH F SH_cmn cmn
SH18_2014 SH M SH_cmn cmn
SH19_2014 SH M SH_cmn cmn
SH2_2014 SH M SH_cmn cmn
SH20_2014 SH M SH_cmn cmn
SH4_2014 SH F SH_cmn cmn
SH5_2014 SH F SH_wht wht
SH6_2014 SH F SH_wht wht
SH7_2014 SH F SH_cmn cmn
SH8_2014 SH F SH_cmn cmn
SK1_2014 SK M SK_cbr cbr
SK10_2014 SK M SK_cbr cbr
SK12_2014 SK M SK_cbr cbr
SK13_2014 SK M SK_cbr cbr
SK14_2014 SK M SK_cbr cbr
SK15_2014 SK F SK_cbr cbr
SK17_2014 SK F SK_cbr cbr
SK19_2014 SK M SK_cbr cbr
SK24_2014 SK F SK_cbr cbr
SK25_2014 SK F SK_cbr cbr
SK26_2014 SK M SK_cbr cbr
SK30_2014 SK M SK_cbr cbr
SK4_2014 SK F SK_cbr cbr
SK7_2014 SK F SK_cbr cbr
SK8_2014 SK M SK_cbr cbr
SR1_2014 SR F SR_cmn cmn
SR105_2014 SR F SR_wht wht
SR107_2014 SR F SR_wht wht
SR113_2014 SR F SR_cmn cmn
