gene_id,chrom,bias_direction,fold-change,entrez_gene_id
ENSGACG00000017934,groupIV,M,>1.5,6695
ENSGACG00000017935,groupIII,M,>1.5,6591
ENSGACG00000017982,groupIV,M,1,229
ENSGACG00000017987,groupIII,F,>2,54749
ENSGACG00000017995,groupIV,M,>1.5,0
ENSGACG00000018000,groupIII,M,>1.5,54463
ENSGACG00000018005,groupIV,M,>1.5,5159
ENSGACG00000018018,groupXIV,M,>2,4882
ENSGACG00000018025,scaffold_256,M,>1.5,2658
ENSGACG00000018028,groupIX,M,>1.5,50859
ENSGACG00000018118,groupXIV,F,>2,954
ENSGACG00000018131,groupIV,M,>1.2,51780
ENSGACG00000018139,groupIV,M,>1.5,147
ENSGACG00000018172,groupXIV,F,>3,148
ENSGACG00000018179,groupXIV,M,>1.5,7410
ENSGACG00000018183,groupIX,F,>1.2,NA
ENSGACG00000018190,groupIX,M,>1.2,0
ENSGACG00000018198,groupIX,F,>1.5,284131
ENSGACG00000018233,groupIX,F,>1.5,22984
ENSGACG00000018257,groupXIV,F,>1.5,9013
ENSGACG00000018308,groupXIV,F,>1.2,10783
ENSGACG00000018310,groupIX,M,>3,3872
ENSGACG00000018320,groupIV,M,>1.5,2324
ENSGACG00000018349,groupXIV,M,>1.5,28965
ENSGACG00000018441,groupXIV,F,>1.5,91373
ENSGACG00000018445,groupIV,F,>1.2,54974
ENSGACG00000018512,groupXIV,F,>1.5,6502
ENSGACG00000018531,groupXIV,F,>1.5,28989
ENSGACG00000018536,groupXIV,M,>1.2,389792
ENSGACG00000018540,groupIV,M,>2,186
ENSGACG00000018552,groupIV,M,>1.5,6451
ENSGACG00000018585,groupIV,F,>1.2,NA
ENSGACG00000018608,groupIV,M,>2,51201
ENSGACG00000018611,groupVII,F,>1.5,6059
ENSGACG00000018677,groupIV,F,>1.5,0
ENSGACG00000018690,scaffold_654,F,>1.5,64787
ENSGACG00000018721,groupIX,M,>1.2,7511
ENSGACG00000018746,groupIX,F,>1.5,84464
ENSGACG00000018771,groupIX,M,>1.5,93343
ENSGACG00000018774,groupIV,F,>2,2180
ENSGACG00000018791,groupIV,F,>1.5,25885
ENSGACG00000018804,groupIV,F,>1.5,5318
ENSGACG00000018816,groupIV,F,>1.2,NA
ENSGACG00000018826,groupIV,M,>1.5,0
ENSGACG00000018883,groupVII,M,>1.5,254531
ENSGACG00000018892,groupVII,F,>1.2,NA
ENSGACG00000018906,groupIX,M,>2,55118
ENSGACG00000018934,groupVII,F,>2,123103
ENSGACG00000018937,groupIX,F,>1.2,400506
ENSGACG00000018952,groupIX,M,>1.2,7249
ENSGACG00000019035,groupIX,F,>1.5,51547
ENSGACG00000019109,groupIX,M,>2,54
ENSGACG00000019111,groupVII,M,>1.2,5289
ENSGACG00000019112,groupIX,M,>1.5,2639
ENSGACG00000019122,groupIX,M,>1.5,57153
ENSGACG00000019152,groupVII,M,>1.5,79987
ENSGACG00000019168,groupIX,M,>1.5,4629
ENSGACG00000019181,groupIX,F,>1.2,NA
ENSGACG00000019192,groupIV,M,>1.5,26959
ENSGACG00000019209,groupIX,F,>1.5,10483
ENSGACG00000019234,groupVII,F,>1.2,91875
ENSGACG00000019252,groupIX,M,>1.5,NA
ENSGACG00000019257,groupIV,F,>1.5,673
ENSGACG00000019268,groupIX,M,>2,51
ENSGACG00000019293,groupIV,F,>1.2,51182
ENSGACG00000019313,groupIV,F,>2,23170
ENSGACG00000019327,groupIX,M,>3,NA
ENSGACG00000019334,groupIV,F,>1.5,121053
ENSGACG00000019363,groupIV,F,>1.5,54522
ENSGACG00000019379,groupIX,M,>1.5,NA
ENSGACG00000019414,groupVII,M,>2,8532
ENSGACG00000019459,groupIV,F,>1.5,NA
ENSGACG00000019474,groupVII,M,>2,2169
ENSGACG00000019479,groupIX,M,>1.5,9817
ENSGACG00000019481,groupIV,F,>1.2,11103
ENSGACG00000019502,groupVII,M,>2,286343
ENSGACG00000019507,groupIX,F,>1.5,81691
ENSGACG00000019593,groupVII,F,>1.2,6164
ENSGACG00000019606,groupIX,M,>1.2,4190
ENSGACG00000019693,groupIX,F,>1.2,51575
ENSGACG00000019710,groupVII,M,>1.5,5091
ENSGACG00000019739,groupIX,F,>1.2,10575
ENSGACG00000019756,groupIX,F,>1.5,84946
ENSGACG00000019782,groupIX,F,>3,3098
ENSGACG00000019801,groupIV,M,>1.5,NA
ENSGACG00000019806,groupIV,M,>2,1634
ENSGACG00000019819,groupVII,F,>2,0
ENSGACG00000019847,groupVII,F,>1.5,10574
ENSGACG00000019855,groupIV,M,>1.5,26286
ENSGACG00000019861,groupVII,M,>1.5,116835
ENSGACG00000019870,groupVII,M,>1.5,55577
ENSGACG00000019916,groupIX,M,>1.2,6711
ENSGACG00000019928,groupVII,M,>1.5,402682
ENSGACG00000019945,groupIV,M,>1.5,5764
ENSGACG00000019955,groupIV,M,>1.5,389558
ENSGACG00000019997,groupVII,M,>1.5,139818
ENSGACG00000020001,groupVII,M,>1.5,0
ENSGACG00000020026,groupIV,M,>1.5,8496
ENSGACG00000020041,groupIV,F,>1.2,NA
ENSGACG00000020059,groupIV,F,>1.5,10988
ENSGACG00000020070,groupIV,M,>1.5,3912
ENSGACG00000020072,groupVII,F,>1.2,1973
ENSGACG00000020073,groupIV,F,>1.5,64421
ENSGACG00000020080,groupIV,F,>3,641371
ENSGACG00000020098,groupIV,M,>1.5,57713
ENSGACG00000020101,groupVII,M,>1.2,214
ENSGACG00000020160,groupVII,F,>1.2,348235
ENSGACG00000020163,groupVII,M,>1.5,221154
ENSGACG00000020201,groupVII,M,>2,89766
ENSGACG00000020233,groupVII,M,>1.5,3315
ENSGACG00000020266,groupVII,M,>1.2,443
ENSGACG00000020267,groupVII,F,>1.5,0
ENSGACG00000020268,groupVII,F,>2,0
ENSGACG00000020291,groupVII,F,>1.2,84187
ENSGACG00000020299,groupVII,M,>1.5,92162
ENSGACG00000020319,groupVII,F,>2,NA
ENSGACG00000020364,groupVII,M,>1.2,4641
ENSGACG00000020388,groupVII,F,>3,346606
ENSGACG00000020396,groupVII,M,>1.2,56996
ENSGACG00000020421,groupVII,M,>1.2,84959
ENSGACG00000020432,groupVII,M,>1.5,2273
ENSGACG00000020444,groupVII,M,>1.5,254102
ENSGACG00000020468,groupVII,M,>1.5,27297
ENSGACG00000020494,groupVII,F,>1.5,NA
ENSGACG00000020497,groupVII,M,>1.2,83451
ENSGACG00000020508,groupVII,F,>2,155368
ENSGACG00000020547,groupVII,M,>3,241
ENSGACG00000020609,groupVII,F,>1.5,54475
ENSGACG00000020617,groupVII,F,>1.5,10694
ENSGACG00000020624,groupVII,F,>1.2,11056
ENSGACG00000020625,groupVII,F,>1.2,NA
ENSGACG00000020637,groupVII,F,>1.5,143903
ENSGACG00000020653,groupVII,M,>1.5,NA
ENSGACG00000020754,groupVII,F,>2,10514
ENSGACG00000020797,groupVII,M,>1.5,53917
ENSGACG00000020811,groupVII,M,>1.2,285598
ENSGACG00000020815,groupVII,M,>1.5,6444
ENSGACG00000020846,groupVII,F,>1.2,3980
ENSGACG00000020852,groupVII,M,>1.5,0
ENSGACG00000020885,groupVII,M,>1.2,5515
ENSGACG00000020889,groupVII,F,>1.5,55651
ENSGACG00000020952,MT,M,>2,4541
ENSGACG00000020954,MT,M,>1.2,4519
