gene_id,bias_amount,bias_direction
ENSGACG00000010995,-1.2,
ENSGACG00000011258,-1.1,
ENSGACG00000011314,1.2,
ENSGACG00000011333,-1.0,
ENSGACG00000011425,2.8,
ENSGACG00000010761,1.1,
ENSGACG00000011524,-1.0,
ENSGACG00000011547,1.1,
ENSGACG00000011633,1.7,
ENSGACG00000011641,-2.6,M
ENSGACG00000011790,-1.6,
ENSGACG00000011810,,
ENSGACG00000011821,1.0,
ENSGACG00000011877,-1.3,
ENSGACG00000011905,,
ENSGACG00000011913,-1.1,
ENSGACG00000011970,1.3,
ENSGACG00000011880,-1.1,
ENSGACG00000012080,,
ENSGACG00000012197,-1.4,
ENSGACG00000012482,,
ENSGACG00000012551,1.1,
ENSGACG00000012603,-1.1,
ENSGACG00000012793,-1.1,
ENSGACG00000012855,-1.2,
ENSGACG00000012936,1.0,
ENSGACG00000012942,-1.0,
ENSGACG00000013073,-1.1,
ENSGACG00000013140,2.5,F
ENSGACG00000013386,-1.1,
ENSGACG00000013435,1.1,
ENSGACG00000013530,1.2,
ENSGACG00000013533,1.0,
ENSGACG00000013639,1.0,
ENSGACG00000013666,-1.5,
ENSGACG00000013689,-1.5,
ENSGACG00000013895,-1.3,
ENSGACG00000013902,-1.4,
ENSGACG00000013918,-1.1,
ENSGACG00000013952,1.2,
ENSGACG00000013959,-1.9,M
ENSGACG00000013974,-1.3,
ENSGACG00000014154,1.3,
ENSGACG00000014227,1.2,
ENSGACG00000014467,-1.2,
ENSGACG00000014492,1.3,
ENSGACG00000014559,2.4,
ENSGACG00000014614,-2.2,
ENSGACG00000014635,1.2,
ENSGACG00000014681,1.2,
ENSGACG00000014733,-1.2,
ENSGACG00000014744,1.0,
ENSGACG00000014774,-1.6,
ENSGACG00000014875,1.7,
ENSGACG00000014965,1.1,
ENSGACG00000015169,-1.4,
ENSGACG00000015247,1.5,
ENSGACG00000015402,1.2,
ENSGACG00000015411,-1.3,
ENSGACG00000015484,1.3,
ENSGACG00000015499,1.3,
ENSGACG00000015519,-2.1,
ENSGACG00000015549,1.2,
ENSGACG00000015568,1.1,
ENSGACG00000015578,1.5,
ENSGACG00000015752,2.6,
ENSGACG00000015777,-1.4,
ENSGACG00000015857,-1.3,
ENSGACG00000015885,-1.7,
ENSGACG00000015963,1.1,
ENSGACG00000015957,1.4,
ENSGACG00000015985,1.1,
ENSGACG00000016040,-1.6,
ENSGACG00000016089,-1.1,
ENSGACG00000016093,-1.5,
ENSGACG00000016153,1.2,
ENSGACG00000016168,-1.2,
ENSGACG00000016189,-1.2,
ENSGACG00000016202,,
ENSGACG00000016226,-1.2,
ENSGACG00000016305,-1.2,
ENSGACG00000016311,-2.6,M
ENSGACG00000016363,1.4,
ENSGACG00000016474,-1.2,
ENSGACG00000016477,-1.1,
ENSGACG00000016489,1.2,
ENSGACG00000016633,2.1,
ENSGACG00000016874,-1.3,
ENSGACG00000016892,-1.5,
ENSGACG00000016898,-1.1,
ENSGACG00000017032,-1.3,
ENSGACG00000017070,,
ENSGACG00000017044,-1.6,
ENSGACG00000017099,,M
ENSGACG00000017164,1.2,
ENSGACG00000017200,1.1,
ENSGACG00000017282,1.0,
ENSGACG00000017396,-1.9,
ENSGACG00000017414,1.0,
ENSGACG00000017491,-1.7,
ENSGACG00000017702,-1.3,
ENSGACG00000017710,1.2,
ENSGACG00000017755,1.0,
ENSGACG00000017850,-1.2,
ENSGACG00000017868,2.1,
ENSGACG00000017861,1.8,
ENSGACG00000017932,-1.6,
ENSGACG00000017982,-1.1,
ENSGACG00000018103,1.2,
ENSGACG00000018185,-1.1,
ENSGACG00000018299,-1.3,
ENSGACG00000018349,,
ENSGACG00000018439,-1.1,
ENSGACG00000018503,,
ENSGACG00000018634,-1.5,
ENSGACG00000018654,-1.2,
ENSGACG00000018676,-2.0,
ENSGACG00000018732,-2.1,
ENSGACG00000018720,-1.2,
ENSGACG00000018842,-1.5,
ENSGACG00000018848,-1.3,
ENSGACG00000019097,1.1,
ENSGACG00000019142,1.4,
ENSGACG00000019181,,F
ENSGACG00000019268,,
ENSGACG00000019542,1.2,
ENSGACG00000019593,-1.1,
ENSGACG00000019604,-1.3,
ENSGACG00000019606,-1.3,
ENSGACG00000019607,-1.0,
ENSGACG00000019710,1.0,
ENSGACG00000019793,,
ENSGACG00000020009,-1.0,
ENSGACG00000020047,-1.8,M
ENSGACG00000020054,-1.1,
ENSGACG00000020117,,
ENSGACG00000020216,-1.2,
ENSGACG00000020286,2.5,
ENSGACG00000020308,-1.1,
ENSGACG00000020441,1.6,
ENSGACG00000020581,1.2,
ENSGACG00000020625,1.3,
ENSGACG00000020678,-1.2,
ENSGACG00000020795,-2.2,M
ENSGACG00000020796,-1.6,
ENSGACG00000020906,1.9,F
ENSGACG00000020938,1.7,
