id std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic
LN7 5.1 1.23 1.21 0.649182404 0.696 0.18777016 0.894322721
LN18 5.25 1.22 1.19 0.690917203 0.695 0.206973119 1.019540424
LN10 5.27 1.28 1.3 0.603836574 0.556 0.230473474 0.734574122
LN2 5.29 1.25 1.15 0.600768694 0.697 0.120152713 0.833020522
LN3 5.29 1.19 1.13 0.612420074 0.55 0.195792291 0.877358055
LN5 5.29 1.2 1.18 0.52997201 0.531 0.140755725 0.855506361
LN22 5.32 1.19 1.16 0.615440204 0.667 0.195513995 0.99283715
LN11 5.33 1.26 1.21 0.579779956 0.566 0.193982863 0.835320195
LN12 5.35 1.21 1.18 0.610097271 0.615 0.252295883 0.866367044
LN16 5.37 1.26 1.28 0.589051282 0.599 0.108784615 0.830912821
LN21 5.41 1.22 1.15 0.523982051 0.609 0.197017949 0.892441026
LN15 5.44 1.25 1.22 0.534117366 0.629 0.151133174 0.859830895
LN20 5.45 1.21 1.2 0.64205462 0.587 0.184451693 0.763880055
LN6 5.46 1.25 1.24 0.67607888 0.65 0.140755725 0.875038168
LN1 5.49 1.28 1.2 0.616178682 0.587 0.140751786 0.814305452
LN9 5.49 1.29 1.26 0.61073249 0.677 0.18778653 0.834297406
LN25 5.5 1.28 1.25 0.585828205 0.502 0.151520513 0.846712821
LN13 5.57 1.2 1.17 0.680868983 0.678 0.198467727 0.977071889
LN4 5.67 1.32 1.28 0.584748978 0.529 0 0.708277998
LN8 5.78 1.28 1.28 0.559225232 0.668 0.243186432 0.73085895
LN14 5.84 1.33 1.24 0.610760812 0.599 0.17141443 0.836746959
MH11 3.81 0.89 0.87 0.462025121 0.509 0.161346851 0.735420543
MH35 3.9 0.94 0.94 0.378505155 0.406 0.157363402 0.736590206
MH36 3.9 0.92 0.9 0.624630769 0.704 0.139502564 0.993602564
MH7 3.9 0.91 0.95 0.46449761 0.481 0.156482182 0.756810231
MH20 4.11 0.96 0.96 0.460298521 0.538 0.226073713 0.790164053
MH29 4.14 0.94 0.97 0.470119522 0.41 0.183529788 0.765298444
MH21 4.17 0.95 0.97 0.427810872 0.509 0.20222081 0.872231678
MH28 4.21 0.96 0.98 0.529130086 0.503 0.161815969 0.713583508
MH31 4.23 0.92 0.97 0.513737003 0.62 0.190777041 0.76145434
MH9 4.3 1.04 1.11 0.455478592 0.49 0.181415702 0.882401649
MH5 4.31 1.05 1.09 0.502922732 0.526 0 0.835783472
MH19 4.55 0.94 0.98 0.328359893 0.377 0 0.646471199
MH16 4.56 1.08 1.11 0.551723783 0.554 0.12062742 0.753455681
MH10 4.58 1.03 1.08 0.533009761 0.529 0.248055874 0.83834973
MH22 4.6 1.03 1.04 0.219710457 0.257 0.131172883 0.525825177
MH26 5.17 1.23 1.26 0.451508997 0.486 0.12274313 0.722290036
MR3 4.88 1.1 1.13 0.638859458 0.658 0.151855547 0.842956494
MR1 5.05 1.16 1.15 0.491554593 0.508 0.170799341 0.842727494
MR9 5.05 1.24 1.24 0.481802086 0.603 0.173124245 0.844450801
MR15 5.09 1.13 1.15 0.412313155 0.511 0.076383357 0.716118493
MR10 5.16 1.22 1.21 0.571662223 0.665 0.165378543 0.753739104
MR14 5.16 1.14 1.09 0.57895231 0.698 0.155552739 0.802862159
MR4 5.18 1.19 1.16 0.56890891 0.646 0.182940447 0.777205835
MR47 5.21 1.17 1.23 0.489499079 0.638 0.17524067 0.783324398
MR2 5.28 1.24 1.29 0.555619306 0.511 0.060603319 0.637051445
MR18 5.49 1.25 1.17 0.386660252 0.387 0.170145155 0.661974442
MR8 5.5 1.2 1.22 0.570780627 0.565 0.17769017 0.812297918
MR58 5.55 1.25 1.24 0.484010976 0.419 0.120334921 0.732511602
MR17 5.61 1.21 1.23 0.567065728 0.478 0.151694836 0.891338028
MR57 5.66 1.26 1.27 0.454199539 0.532 0.200173235 0.619702308
MR53 5.96 1.27 1.37 0.60908818 0.689 0.141840283 0.902555726
MR7 6.22 1.44 1.43 0.562016118 0.582 0.160473368 0.8515145
RT21 4.13 0.97 1 0.539294791 0.434 0.142981469 0.59132214
RT55 4.14 0.94 1.04 0.441553785 0.475 0.161428463 0.679308387
RT42 4.16 0.92 0.99 0.45230436 0.501 0.194402144 0.68097451
RT23 4.17 1.07 1.08 0.445985252 0.477 0.164950572 0.62127577
RT22 4.2 0.89 0.93 0.559315193 0.414 0.181519274 0.695077098
RT20 4.23 1.03 1.07 0.512565228 0.45 0.179306223 0.607038919
RT43 4.26 0.92 0.92 0.423234296 0.555 0.19340699 0.471709859
RT48 4.28 1.07 1.18 0.496117754 0.59 0.138702288 0.712556509
RT46 4.3 1 1.02 0.416666667 0.48 0.186856482 0.722756944
RT60 4.33 0.97 0.99 0.500270337 0.551 0.190189096 0.652271996
RT49 4.49 0.95 1.02 0.467422671 0.442 0.148670194 0.700543111
RT54 4.55 1.06 1.1 0.494557996 0.609 0.232814055 0.664623504
RT50 4.71 1.17 1.26 0.465836439 0.528 0.167241499 0.752806648
RT40 5.02 1.17 1.25 0.585340567 0.556 0.166658238 0.896531114
RT62 5.3 1.24 1.34 0.554980766 0.493 0.206452151 0.797899278
RT47 5.42 1.17 1.27 0.600954885 0.642 0.205022518 0.744287123
SF7 3.79 0.84 0.84 0.27867124 0.331 0 0.42575725
SF23 3.87 0.91 0.9 0.540124483 0.514 0.154637183 0.698612131
SF2 3.91 0.94 0.96 0.392261155 0.475 0.131703694 0.614269626
SF4 3.93 0.86 0.89 0.457354688 0.524 0.142853402 0.538502563
SF25 4 0.9 0.92 0.462763366 0.423 0.152282039 0.731290668
SF30 4.14 0.98 1.08 0.547830769 0.544 0.12015641 0.5711
SF5 4.15 0.99 1.01 0.498965503 0.556 0.141417725 0.703617286
SF24 4.16 0.93 0.94 0.517133693 0.544 0.185882299 0.769804703
SF27 4.19 1.03 1.08 0.499148242 0.519 0.167258989 0.744799895
SF33 4.2 0.96 0.99 0.481835594 0.459 0.158386343 0.615351481
SF3 4.21 0.91 0.91 0.491561905 0.452 0.108797619 0.691197619
SF29 4.22 1 1.02 0.470291556 0.548 0.17494414 0.715492203
SF32 4.29 0.96 1.01 0.365102486 0.623 0.141112996 0.780602288
SF83 4.39 1.02 1.08 0.441496904 0.435 0.128511173 0.710354995
SF28 4.59 1.1 1.11 0.371782413 0.544 0.12015487 0.802353816
SF22 4.66 0.98 1.09 0.474956751 0.589 0.220169919 0.861129977
SF10 4.79 1.15 1.21 0.512917097 0.499 0.183490541 0.546308057
SF12 4.79 1.13 1.15 0.470820525 0.515 0.086583079 0.685565235
