id rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode
BK24 175.802240896359 135 156.980578898226 130 141.154030501089 111 473.936850295674 376
BK25 180.89885105349 169 161.293901211427 153 143.572182304141 131 485.764934569058 453
BK26 182.392457912458 132 167.529663299663 184 148.487070707071 156 498.409191919192 472
BK27 197.985558667912 129 185.909679427326 129 158.782197323374 142 542.677435418612 400
BK28 177.806097560976 106 158.315898825655 106 136.719196025294 130 472.841192411924 342
BK29 171.725166989873 190 157.079544638368 169 139.522444875386 148 468.327156503627 507
BK3 186.035185185185 147 164.704224537037 131 143.001446759259 130 493.740856481482 408
BK30 191.655069210625 131 171.783122227567 195 146.058949281171 136 509.497140719363 462
BK31 195.862388250319 140 180.546416028097 191 155.320482120051 158 531.729286398467 489
BK32 196.344872661708 205 174.666170836151 167 153.328645481181 138 524.33968897904 510
BK33 203.872552004059 NA 180.04165398275 187 149.358853373922 155 533.273059360731 NA
BK34 173.822323401763 165 160.175093857337 160 141.146657081237 140 475.144074340336 465
BK35 192.243716931217 NA 177.736235119048 190 152.973338293651 158 522.953290343915 NA
BK37 191.919268635724 130 173.489404594468 190 147.1709798406 155 512.579653070792 475
BK38 187.001584201389 133 166.797374131944 184 136.709982638889 133 490.508940972222 450
BK39 196.651442225636 164 177.069738863287 191 140.949069807134 140 514.670250896057 495
BK4 192.300937766411 135 181.678175618073 132 154.811395282751 157 528.790508667235 424
BK40 182.902030235364 166 167.423346423346 180 141.700726367393 144 492.026103026103 490
BK41 190.869576217584 160 176.497870546068 139 150.889394897744 155 518.256841661396 454
BK42 206.292784163474 NA 179.77662037037 187 140.454781289911 130 526.524185823755 NA
BK43 181.30762594893 205 159.081147918104 168 134.076086956522 129 474.464860823556 502
BK44 184.306175306175 193 164.077219077219 164 142.925666925667 143 491.309061309061 500
BK45 189.424895833333 149 176.957013888889 136 156.012604166667 138 522.394513888889 423
BK46 203.012853640761 135 183.740100267232 136 136.786391042205 135 523.539344950198 406
BK47 200.240621937093 NA 181.096899224806 164 158.439543793994 129 539.777064955894 NA
BK48 181.450557700558 162 167.484448734449 156 154.35960960961 132 503.294616044616 450
BK49 172.758890097056 128 151.892634207241 112 129.542829527607 97 454.194353831904 337
BK5 192.102430555556 NA 181.91450617284 183 171.477546296296 168 545.494483024691 NA
BK50 194.073638344227 167 182.655337690632 218 159.391358024691 166 536.12033405955 551
BK51 198.422829248027 135 182.479642708766 203 150.775264852514 157 531.677736809306 495
BK52 188.243975903614 159 168.945627336934 134 147.599994806813 140 504.789598047362 433
BK53 196.5496 131 174.056066666667 191 149.478233333333 154 520.0839 476
BK54 192.778575870647 NA 168.261971393035 177 138.382058457711 132 499.422605721393 NA
BK55 188.513386707989 136 172.708075068871 188 157.335915977961 159 518.557377754821 483
BK56 175.784038542103 129 158.850806451613 182 137.928126309175 142 472.562971302891 453
BK57 192.696209490741 134 176.410590277778 189 149.502314814815 156 518.609114583333 479
BK58 205.752159090909 NA 182.078409090909 189 158.502613636364 160 546.333181818182 NA
BK59 181.844968123862 135 157.338888888889 128 133.995013661202 120 473.178870673953 383
BK6 185.656557326981 NA 169.252977826645 129 144.366318490013 128 499.275853643638 NA
BK60 189.794850982351 NA 172.221216283716 185 150.106622544123 154 512.12268981019 NA
BK61 196.661287625418 NA 181.624623745819 194 163.628219063545 168 541.914130434783 NA
BK62 184.154668522267 131 170.829643218623 186 155.487917510121 157 510.472229251012 474
BK63 200.554750402577 135 183.38979468599 130 158.572564412238 171 542.517109500805 436
BK64 197.246283783784 128 187.436467717718 129 175.514695945946 138 560.197447447447 395
BK65 178.389124293785 145 159.493391848265 129 141.559221146086 124 479.441737288136 398
BK66 197.388963293651 129 187.697073412698 129 165.200049603175 166 550.286086309524 424
BK67 182.731593276515 156 172.876854482323 137 158.278527462121 131 513.88697522096 424
BK68 192.586415816327 NA 174.433035714286 182 154.362882653061 156 521.382334183673 NA
BK69 182.350439189189 240 168.329864864865 183 145.906047297297 152 496.586351351351 575
BK7 181.055050688638 138 169.131063451674 131 152.6793691183 129 502.865483258613 398
BK70 182.099566915761 161 165.307871942935 150 149.04343580163 136 496.450874660326 447
BK71 188.225416666667 136 178.310277777778 218 164.1196875 158 530.655381944444 512
BK72 179.173120471014 211 163.890851449275 182 150.945878623188 157 494.009850543478 550
BK73 193.45149707887 NA 164.863072054528 175 131.556962025316 129 489.871531158715 NA
BK8 201.098181818182 NA 181.187373737374 190 160.781851851852 164 543.067407407407 NA
BK9 178.2376 106 166.164714285714 189 151.679771428571 162 496.082085714286 457
BR1 171.318802521008 187 162.743814192344 178 149.793008870215 156 483.855625583567 521
BR10 183.886517058931 201 169.400802773217 174 146.790147783251 132 500.077467615399 507
BR11 180.102400819792 133 175.833040550432 135 169.498426291905 187 525.433867662129 455
BR12 192.141586538462 131 180.864281674208 199 170.74772341629 182 543.753591628959 512
BR13 193.884567901235 164 177.763105413105 160 157.592972459639 134 529.240645773979 458
BR14 175.751851851852 191 170.813903586126 183 166.796443268665 163 513.362198706643 537
BR15 185.630439005439 131 175.257834757835 133 159.594308469308 177 520.482582232582 441
BR16 200.270740315516 130 190.448611642641 131 176.699961729812 190 567.41931368797 451
BR17 163.248452099516 130 157.468741791437 130 150.834702990731 135 471.551896881684 395
BR18 176.271631545338 132 163.308695189442 129 151.368374840358 133 490.948701575138 394
BR19 187.932505388046 223 164.77120542859 164 138.214796321192 136 490.918507137827 523
BR2 169.551461712066 187 154.644622894032 160 142.317902692489 149 466.513987298588 496
BR20 172.662912912913 131 157.374865937366 134 145.117814242814 146 475.155593093093 411
BR21 198.176454370003 136 169.848201977234 181 134.884910788137 131 502.909567135374 448
BR22 181.226042048649 134 172.332569368048 131 158.024660799413 132 511.58327221611 397
BR23 195.443256689525 165 183.456680561158 181 169.32376406257 163 548.223701313254 509
BR24 201.20326040326 NA 186.383812383812 195 163.683083083083 162 551.270155870156 NA
BR25 187.186522633745 160 168.365288065844 178 150.661872427984 155 506.213683127572 493
BR26 187.463597624552 161 176.539281019085 169 162.051180923886 160 526.054059567523 490
BR27 193.743863049096 161 178.116359819121 139 153.60816375969 150 525.468386627907 450
BR28 176.871946189479 128 167.901611777397 127 158.480709435878 128 503.254267402754 383
BR29 193.635532407407 129 168.527932098765 186 135.024537037037 133 497.18800154321 448
BR3 183.691086691087 191 170.339241403758 179 153.904919453307 158 507.935247548151 528
BR30 200.85446299732 128 171.62987012987 187 136.246615818044 135 508.730948945235 450
BR31 172.765116097865 193 161.184393018544 177 145.406615240767 146 479.356124357176 516
BR32 179.986407520325 191 164.606241531165 178 147.071519308943 153 491.664168360434 522
BR33 185.111152803836 139 165.932791327913 131 139.499520533667 129 490.543464665416 399
BR34 192.283366206443 131 181.119049358366 131 157.247985000122 165 530.65040056493 427
BR35 187.927366255144 159 179.599135802469 150 169.663744855967 144 537.19024691358 453
BR36 183.574252136752 217 166.95177045177 180 143.386561355311 150 493.912583943834 547
BR37 170.97434129902 133 159.68972120098 181 147.189670138889 154 477.853732638889 468
BR38 177.395187018702 190 170.990401540154 187 163.266391639164 174 511.65198019802 551
BR39 190.803 130 170.708407407407 186 142.638222222222 147 504.14962962963 463
BR4 182.216798159106 200 173.271696252465 186 161.730659653737 165 517.219154065308 551
BR40 189.307491582492 NA 179.834231200898 193 168.414450056117 182 537.556172839506 NA
BR41 190.91508672852 NA 178.659584958092 188 164.630361704989 165 534.205033391601 NA
BR42 186.832368827161 201 178.404160236626 187 166.928948045268 168 532.165477109054 556
BR43 182.393454830492 130 171.642641583382 134 158.915128355869 175 512.951224769743 439
BR44 191.984469135802 130 163.718839506173 177 129.42249382716 128 485.125802469136 435
BR45 178.89696213067 190 168.891302538494 180 159.370203911777 161 507.158468580941 531
BR46 168.772876917321 177 163.924466891134 166 158.107182940516 160 490.804526748971 503
BR47 186.036888888889 194 174.017142857143 177 160.911015873016 159 520.965047619048 530
BR48 187.728927951389 129 174.452647569444 188 158.8927734375 160 521.074348958333 477
BR49 188.398045076617 131 174.518535697107 133 159.970538720539 175 522.887119494262 439
BR5 185.830555555556 199 176.434986772487 187 161.290806878307 165 523.556349206349 551
BR50 196.442855559251 129 177.91911465839 204 152.533274212024 147 526.895244429664 480
BR51 185.963585526316 NA 163.765789473684 169 134.630921052632 131 484.360296052632 NA
BR52 189.069285714286 133 160.412589285714 166 129.740446428571 128 479.222321428571 427
BR53 175.483981693364 99 156.562392734554 172 131.616418764302 131 463.66279319222 402
BR54 160.619481646825 128 148.426793981481 127 138.688988095238 122 447.735263723545 377
BR55 176.457622823214 139 165.356576517867 133 150.735672133522 139 492.549871474603 411
BR56 199.174214975845 227 184.582465277778 189 165.468674516908 163 549.225354770531 579
BR57 181.794011695906 101 172.162315789474 101 164.192701754386 101 518.149029239766 303
BR58 189.63302373581 NA 159.784760921913 167 118.758582731338 126 468.176367389061 NA
BR59 176.739937147531 185 171.410478281459 176 162.965043695381 162 511.11545912437 523
BR6 168.159345716198 183 162.03250502008 168 154.270247657296 159 484.462098393574 510
BR60 172.136766034327 185 166.624299909666 180 159.072448057814 167 497.833514001807 532
BR61 178.561565622418 188 175.351476222673 186 170.692735331681 179 524.605777176771 553
BR62 192.432994609036 128 180.129669386003 130 168.000214684414 187 540.562878679452 445
BR63 185.086276198679 139 167.949373145756 130 150.249066896354 129 503.284716240789 398
BR64 194.024349881797 122 182.103478554542 109 161.673826409997 184 537.801654846336 415
BR65 186.634786538729 197 165.003650396329 167 140.754067584481 140 492.392504519538 504
BR66 187.971636656419 NA 160.397928560972 181 126.706448543405 120 475.076013760796 NA
BR67 168.796373296373 129 152.482357357357 120 130.017729267729 97 451.29645992146 346
BR68 189.821413787226 100 172.335232668566 190 136.996030876373 150 499.152677332165 440
BR69 167.714513556619 183 146.332565420285 152 122.527763010219 126 436.574841987123 461
BR7 191.669578669579 108 164.003958503959 183 131.587428337428 129 487.260965510966 420
BR70 188.010654083571 104 162.767924976258 182 133.502938034188 126 484.281517094017 412
BR8 177.04075263064 130 169.021357232031 130 159.815320135545 179 505.877429998216 439
BR9 197.413199314321 135 180.161173445535 190 156.251558360605 159 533.825931120461 484
CL1 161.906146351575 181 154.325974295191 158 145.922937396352 151 462.155058043118 490
CL10 134.68488372093 97 134.006744186047 101 133.269941860465 153 401.961569767442 351
CL11 143.601859360519 158 146.612778035218 158 149.898922613531 158 440.113560009268 474
CL12 155.782510553471 128 151.519670497186 134 148.146400093809 157 455.448581144465 419
CL13 152.750953159041 163 147.908496732026 159 137.495506535948 147 438.154956427015 469
CL14 142.021352985639 155 142.136526832955 153 140.694916855631 146 424.852796674225 454
CL16 145.469135802469 159 145.390946502058 159 145.14785420341 158 436.007936507937 476
CL17 154.434314903846 156 148.036207932692 150 144.538611778846 145 447.009134615385 451
CL18 155.047607219738 160 153.320334492466 159 151.551250206988 157 459.919191919192 476
CL19 145.476666666667 161 142.643037037037 159 137.603555555556 156 425.723259259259 476
CL2 142.077405447776 156 142.506270821086 154 140.61140505585 145 425.195081324711 455
CL20 146.866891133558 156 144.975645342312 154 140.784287317621 147 432.62682379349 457
CL21 153.42615945075 163 153.242048479753 160 154.148311615525 159 460.816519546028 482
CL22 163.79679417122 162 161.279052823315 160 155.71970856102 158 480.795555555556 480
CL23 139.085180700447 158 142.495529061103 158 147.271376676602 157 428.852086438152 473
CL24 155.33351426799 185 155.929254549214 183 158.652993176179 177 469.915761993383 545
CL25 142.320216049383 150 139.391865079365 141 133.348985890653 130 415.0610670194 421
CL26 138.777267759563 158 135.587540983607 157 132.872786885246 155 407.237595628415 470
CL27 144.542443820225 104 140.144157303371 157 139.290758426966 154 423.977359550562 415
CL28 143.118681426332 159 140.190830721003 157 138.643808777429 151 421.953320924765 467
CL29 153.012384716733 172 151.270355731225 168 146.537373737374 160 450.820114185332 500
CL3 151.483393719807 161 149.437198067633 159 142.921422101449 152 443.842013888889 472
CL30 154.316803840878 99 153.448765432099 171 151.08792866941 162 458.853497942387 432
CL31 137.896581196581 129 133.220868945869 126 130.118945868946 122 401.236396011396 377
CL32 136.2434261003 157 132.725326079375 155 127.837692683267 142 396.806444862942 454
CL33 143.479298941799 133 136.450198412698 111 129.935582010582 114 409.865079365079 358
CL34 170.504546957672 186 167.974702380952 183 165.407490079365 173 503.886739417989 542
CL35 142.13829787234 157 138.727917472598 155 133.427895981087 140 414.294111326026 452
CL36 146.621268534849 156 146.60043111895 156 145.352668365014 156 438.574368018812 468
CL37 147.283309957924 158 143.037400654511 154 136.813464235624 136 427.13417484806 448
CL38 135.1825 99 134.282333333333 99 132.954766666667 102 402.4196 300
CL39 145.505218855219 153 141.878114478114 146 136.993265993266 134 424.376599326599 433
CL4 147.901896994135 99 142.47273643695 159 139.665643328446 155 430.040276759531 413
CL40 150.519725557461 146 143.747093577282 139 137.948065561273 132 432.214884696017 417
CL41 163.811904761905 184 152.984920634921 164 142.240582010582 155 459.037407407407 503
CL42 144.24787037037 156 142.694537037037 155 138.283981481481 146 425.226388888889 457
CL43 157.210882559775 185 159.373066104079 184 163.241443975621 181 479.825392639475 550
CL44 164.679246487867 183 164.252107279693 103 160.249680715198 175 489.181034482759 461
CL45 138.092530657748 156 136.807599405425 155 133.911557041992 149 408.811687105165 460
CL46 140.299232323232 157 136.308525252525 154 129.914505050505 133 406.522262626263 444
CL47 152.391748570159 131 147.417013715365 132 143.664723193959 132 443.473485479483 395
CL48 150.683470507545 160 147.693552812071 158 140.966117969822 149 439.343141289438 467
CL49 138.602390180879 141 138.429909560724 140 137.187769164513 135 414.220068906115 416
CL5 147.602024384633 100 134.698872785829 98 123.696227283184 102 405.997124453646 300
CL50 151.808677134647 184 148.580023604269 177 147.869714696223 162 448.25841543514 523
CL51 128.485900673401 131 125.944970538721 128 121.272727272727 126 375.703598484848 385
CL52 198.733496133496 68 180.589336589337 164 160.242816442816 134 539.565649165649 366
CL53 152.416933563275 155 146.746571405108 150 142.938901207194 143 442.102406175577 448
CL55 140.787607255349 98 134.915336157272 103 130.107852720756 112 405.810796133377 313
CL56 137.523796296296 100 130.627777777778 106 125.205925925926 113 393.3575 319
CL57 144.798870232172 137 139.768967661692 134 135.581726782753 131 420.149564676617 402
CL58 152.291964285714 97 153.815476190476 98 156.281011904762 105 462.388452380952 300
CL59 160.793911007026 162 153.367226125423 158 145.592180588082 152 459.753317720531 472
CL6 147.997066666667 157 144.661688888889 155 139.2464 144 431.905155555556 456
CL60 152.909611992945 99 150.063429075334 168 144.102607709751 159 447.07564877803 426
CL61 129.829829059829 141 130.658290598291 139 130.411282051282 133 390.899401709402 413
CL63 159.508841607565 130 149.323404255319 133 137.84170212766 129 446.673947990544 392
CL64 139.917749072224 98 135.560894233514 158 134.523747502141 155 410.002390807879 411
CL65 149.306472128694 163 148.457089412645 160 144.431724653947 156 442.195286195286 479
CL7 171.106445783133 170 163.969909638554 161 156.581807228916 157 491.658162650602 488
CL8 116.383112980769 76 114.159664554196 96 114.898191652098 106 345.440969187063 278
CL9 146.385151717983 100 145.281347612673 101 144.605867916109 105 436.272367246765 306
CP1 156.879191287619 164 154.163219733407 160 151.413795176584 158 462.456206197609 482
CP10 163.755017619121 186 161.363222000919 181 158.023584724988 164 483.141824345028 531
CP11 168.079710537728 185 167.993079647297 182 166.594797990749 173 502.667588175773 540
CP12 157.8831333446 164 157.911969748183 162 156.684436792293 160 472.479539885077 486
CP13 158.570595728003 168 156.091808739957 163 150.839334705075 159 465.501739173036 490
CP14 157.119017842254 180 156.328289144572 179 154.216733366683 174 467.66404035351 533
CP15 164.392733230532 192 154.031490940632 182 146.069884830378 157 464.494109001542 531
CP16 166.65521540873 186 163.238873319717 180 159.70512516031 167 489.599213888757 533
CP17 163.643336899667 170 165.142950546838 164 164.759361626248 161 493.545649072753 495
CP18 175.939676227455 101 174.198099323647 104 172.706913827655 197 522.844689378757 402
CP19 174.487764870388 210 172.82827793912 196 171.175881108601 189 518.49192391811 595
CP2 147.203492323685 158 146.981748760595 158 145.324354309931 158 439.509595394211 474
CP20 153.566276548011 158 150.409045019444 155 144.858809452588 139 448.834131020042 452
CP21 156.45612176628 161 155.664566607196 159 152.742213053821 157 464.862901427297 477
CP22 172.147056889181 190 165.513548174942 182 158.465850049326 164 496.126455113449 536
CP23 163.095108695652 183 162.712222013993 180 161.492410044978 174 487.299740754623 537
CP24 172.041429093567 190 170.927558479532 189 167.994736842105 186 510.963724415205 565
CP25 165.070878864606 185 162.297907782516 178 158.979910714286 165 486.348697361407 528
CP26 166.992026884555 134 162.230610832894 189 156.38037032156 178 485.603008039009 501
CP27 181.054972496878 246 176.171936692201 205 171.465798265447 189 528.692707454527 640
CP28 157.835672672237 136 156.515622084465 148 155.309539112226 175 469.660833868928 459
CP29 172.996508874717 163 170.466946648001 161 166.956879417915 160 510.420334940634 484
CP3 161.050365439437 186 159.551950021229 182 158.410626554255 178 479.012942014921 546
CP30 169.63504115462 173 163.494804536008 168 156.524046407357 161 489.653892097986 502
CP31 177.816432296824 190 171.727107678088 186 163.396811249752 168 512.940351224665 544
CP32 168.66925131558 186 165.095359591772 180 158.579293573593 165 492.343904480944 531
CP33 157.898460858929 164 153.116081136178 158 145.342501359065 150 456.357043354172 472
CP34 156.880409873633 135 151.304818961566 150 146.704260241385 149 454.889489076584 434
CP35 180.108960393274 183 172.985894642757 174 160.583431093235 160 513.678286129267 517
CP36 176.756758764112 204 175.29206278471 200 171.345612992672 190 523.394434541493 594
CP37 173.180173992674 187 167.756066849817 181 159.846001221001 163 500.782242063492 531
CP38 158.325218023256 163 155.345082364341 161 150.412346576227 159 464.082646963824 483
CP39 174.033645276292 187 171.53011734997 185 166.719994058229 178 512.283756684492 550
CP4 155.804118127575 185 155.280881517261 181 153.777471942037 168 464.862471586873 534
CP40 180.388598712673 200 174.142502901762 188 166.674132109317 181 521.205233723752 569
CP5 163.190462793642 189 162.187428410667 186 160.30107710548 179 485.678968309788 554
CP6 156.783105926301 165 155.375783525389 163 153.856931429657 161 466.015820881347 489
CP6A 188.446327683616 226 185.432595731325 196 180.64344005022 182 554.52236346516 604
CP7 161.083053000137 165 160.350078950982 164 158.421838528079 163 479.854970479198 492
CP8 162.21044921875 169 162.14404296875 167 160.546258223684 163 484.900750411184 499
CP9 160.441474039829 179 159.118678876245 173 156.545910384068 167 476.106063300142 519
FTGC1 166.602281316567 187 156.294372294372 167 143.474953617811 136 466.37160722875 490
FTGC10 174.942994875944 189 160.338760787487 162 145.900788834951 148 481.182544498382 499
FTGC11 169.004849179076 180 161.971668575792 162 156.754028255059 157 487.730546009927 499
FTGC12 166.734931009441 186 157.909119203237 161 147.444729743749 144 472.088779956427 491
FTGC13 183.556078904992 133 175.595974235105 190 164.140821256039 175 523.292874396135 498
FTGC14 187.087807846506 219 181.246241408935 192 170.825959335624 181 539.160008591065 592
FTGC2 167.881582192625 187 157.00937230238 165 143.079664570231 151 467.970619065236 503
FTGC3 170.101725603222 188 162.661160994716 180 152.427964379411 159 485.190850977349 527
FTGC4 167.716511520433 181 158.805010893246 163 147.670660856935 156 474.192183270615 500
FTGC5 180.00008938947 190 174.276660409404 186 166.710378117458 166 520.987127916331 542
FTGC6 173.575870051086 99 158.42496807152 101 141.233477011494 156 473.2343151341 356
FTGC7 175.119450379867 107 165.481392450142 183 152.275967473884 158 492.876810303894 448
FTGC8 191.369689542484 213 181.763752723312 189 166.607128267974 167 539.740570533769 569
FTGC9 181.655735735736 191 172.486636636637 185 162.343843843844 167 516.486216216216 543
GC1 132.054563492063 82 128.033415217939 79 111.311602418745 79 371.399581128748 240
GC10 169.000631313131 189 159.429022366522 183 146.782215007215 159 475.211868686869 531
GC11 173.863652708313 190 158.919649570135 180 137.664411101304 154 470.447713379752 524
GC12 161.92587042587 128 153.907037407037 127 146.368446368446 109 462.201354201354 364
GC13 176.20882135697 130 164.171678801308 127 150.769758362351 102 491.150258520629 359
GC14 178.758029513889 130 170.984006076389 128 161.353515625 106 511.095551215278 364
GC15 155.698334921283 176 147.656095458464 161 138.077945646749 152 441.432376026496 489
GC16 159.644564636752 96 139.533943198006 161 116.017761752137 126 415.196269586895 383
GC17 174.927854938272 189 171.394367283951 187 166.991936728395 186 513.314158950617 562
GC18 169.554093567251 162 152.955088432463 159 138.533607901868 134 461.042789901583 455
GC19 147.522105109062 69 143.496925779534 68 138.976760357195 70 429.995791245791 207
GC2 179.029243292131 NA 174.570461930124 NA 169.620607644123 NA 523.220312866379 NA
GC20 150.08139619883 160 143.121820175439 156 133.410635964912 143 426.613852339181 459
GC21 172.937369572963 71 151.365373848425 70 129.092202371863 150 453.394945793251 291
GC22 138.680421233613 151 131.619636077083 144 122.407479045777 128 392.707536356473 423
GC23 158.51114379085 176 150.474869281046 160 142.552287581699 154 451.538300653595 490
GC24 150.952317790702 104 145.895316804408 176 139.4368261742 102 436.284460769309 382
GC25 187.748366013072 194 176.326828215563 186 161.613485016648 168 525.688679245283 548
GC26 173.581491361789 75 162.204236534553 74 148.54674796748 166 484.332475863821 315
GC27 153.528474025974 176 145.725681818182 161 133.622662337662 143 432.876818181818 480
GC28 165.313471836062 194 153.969120070024 173 142.177234579343 156 461.459826485429 523
GC29 136.823480803458 156 132.28839308416 128 125.827019238919 85 394.938893126536 369
GC3 154.412368972746 175 144.770080862534 160 132.928361784966 152 432.110811620246 487
