id csize PC1 PC10 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9
AL1_2014 6.3835026139663 -0.0348844569699496 0.00386378906031786 -0.0127740705122632 -0.000275524762579234 -0.00346640505941112 -0.0440286119661698 0.0250352911875096 0.00444819674067853 0.0112148234037847 -0.0128364426419302
AL1_2014 7.54566125350301 0.0204617177498847 -0.00748193121437504 -0.0277223859699452 0.001952852800458 0.00925731435675221 0.0250611820245123 0.0305537783859757 -0.00750831846477556 -0.0103399652247542 0.00447375643739394
AL11_2014 6.10338186846917 -0.0156510362762606 -0.01553399190306 0.0261331457973724 -0.0213304979429298 -0.00660569236585069 0.015002803572446 -0.0295216670095058 0.0173781664226943 -0.00621884848260191 -0.0128751500070309
AL11_2014 7.3524834841207 -0.00154938809173923 0.0116513332937332 0.0109882303890748 -0.00602347607513999 0.011565686122119 -0.0442318106945642 0.0209105234211582 0.00418753807337375 -0.000489043960264845 -0.00760650756437437
AL12_2014 5.99542051703587 0.00114200584134364 -0.00062467434525856 -0.00111031172952985 -0.00637484301459224 0.0136642015191709 -0.0249509955232983 0.051238486215568 -0.00582572111922406 -0.00614323304018639 -0.00557837417734217
AL12_2014 6.3983113111033 -0.0888539652965576 -0.00471044830133838 -0.0118043584737843 -0.00142110698615636 -0.00423486570119381 0.0117076156700609 0.0467653887714002 0.0139568536098604 0.00196490796745037 -0.017495633551442
AL13_2014 5.9945015874602 -0.0186191781837833 -0.00352169086555348 -0.00838019349384932 -0.00728989463324083 0.00526736404765184 0.0102685812965202 0.0441362029704793 0.00923060782345568 -0.00463755776300861 0.00833723607484854
AL13_2014 7.23569677601507 -0.0138414635701271 -0.00524370723670604 -0.0172168305230395 0.00496908673143644 -0.0111597722917 -0.0112767155142673 0.0287144199744081 0.00830780446905128 0.0003623812904601 0.00505827197836047
AL14_2014 6.05115682008896 -0.0428579979758437 0.000205974317820052 -0.0249007001582583 0.000171556759220393 -0.00360102976496009 -0.0186694800023783 -0.00941114025808407 0.00906060616775218 -0.01167331218295 -0.0119512853267207
AL14_2014 6.98699101401381 -0.00147606507041055 0.0100040563091659 -0.0197278457492465 0.00529170474945466 0.0129951497082693 0.0107718950414923 0.0520372802002679 0.0011033399812896 -0.0142939460467189 -0.00400311099633186
AL2_2014 5.78470208455878 -0.0889882605674108 0.0195217628476249 -0.0102196212326108 0.002306717146163 -0.00360398167296718 0.0174111019674026 0.0152051641400866 0.0166947487345354 0.00831880029144373 -0.00455979629494714
AL2_2014 7.43397617166291 0.022816604196047 0.00222242892595053 -0.00546899216780786 -4.52664198217325e-05 -0.00552841227518438 0.00930713087405337 0.0278976193415383 -0.00315648309040064 -0.000162554784801606 0.00648311343099034
AL21_2014 6.51280499801886 -0.0148469449361038 0.00860866266602192 -0.00257687321239239 -0.00187850431740875 -0.00310353334593001 0.00973346460355367 -0.00700084795527441 0.00565917911309749 -0.00444484111173828 -0.00890688951154328
AL22_2014 6.57581023250797 -0.0299908049876836 -0.0116005641348926 0.00737642687438935 -0.000876775177159608 0.00813906951172523 0.0338488970787908 0.0120571105718681 0.00111227489991361 -0.0101150416098666 -0.0116398173120243
AL23_2014 6.38755662773062 -0.00512901571511121 0.0127168537640969 0.0115430995344589 -0.00033070898686135 0.0108862471437693 -0.0026300490484541 0.0128760211796819 0.011181837981313 0.00757171925909023 0.00557397334943237
AL24_2014 6.64865776856492 -0.041436837818876 -0.00631081379919504 -0.00832245012554579 0.0219639823981335 -0.000493367071564092 0.00799781021777593 0.0186945909815774 0.00118648240626502 -0.0184700672359528 0.00432578989683965
AL29_2014 6.3237751288918 -0.0334232126860404 0.00922150530283039 -0.00401746660944051 0.00802791145223135 0.00602966130394657 -0.00110552629245022 0.00849418778656383 0.00388691205221176 0.00379875766763171 0.00367156972180979
AL3_2014 6.21523170285029 0.0279220202316748 -0.00525238847010877 0.0236494798177726 -0.000682449154040364 -0.00401851696147903 -0.00454391454808316 0.0081395110862422 -0.00780578419539716 -0.00858180782517573 -0.0002649737133145
AL3_2014 6.33868435553304 -0.0657584518438334 -0.00884068674537891 0.0258468094880049 -0.00926226399091976 -0.00959378810587727 0.0195540482210385 0.0165494719722881 -0.0143682862323451 0.00144163284931056 0.0049002980039551
AL32_2014 6.72576320074843 -0.0110055511286459 0.00834577855925532 0.0100109065164125 0.00910820178901436 -0.00442213571119606 -0.0321994358554971 0.00738564350004242 0.0058577646273882 -0.00592762407163637 -0.0140469156161056
AL5_2014 6.16337720641722 0.00254094451365659 -0.00258728806381109 0.00487182484160025 0.00806891068331007 0.0093863667429571 -0.0168714699740809 0.0110118431471145 -0.00735238289828448 0.00401070969561549 0.0101061657962266
AL5_2014 6.88768786049951 -0.00225574241530151 0.00334483086168286 0.0106168273190685 0.000925035791654121 0.00464423851627431 0.0336133888849687 0.0113711887496056 0.00277583303689203 -0.00232656726053926 0.00796477413185885
AL6_2014 6.0090375355435 -0.0306494130126777 -0.0169680909935716 -0.0149376565885709 -0.00402313669763446 -0.0196596178778974 0.033807857052164 0.0160412591668234 -0.00413478172448384 -0.0165613397411626 -0.000520002650523558
AL6_2014 6.69932089881986 0.00957161496875976 0.0058677967228271 0.00513886998163895 -0.0313078525472168 0.0049019489487224 0.00551720703107387 0.0134199193674692 -0.00192517560974355 -0.00203912927826583 0.0021356029514899
AL7_2014 5.7920631689498 -0.0129275420095419 -0.00358897336177949 0.0338607087025943 -0.00285291867069043 -0.00371082592860041 0.0163665876058599 0.0169614029724705 0.00942410547984866 0.00326720634945842 0.00362331745961468
