id species ventral_rakers dorsal_rakers raker_long_count raker_short_count plate_count spine_dorsal1 spine_dorsal2 std_length
PQ7 common 27 8 22 16 30 0.52 0.61 3.540483634
PQ8 common 26 7 21 15 31 0.55 0.56 3.665777586
PQ9 common 26 8 20 16 32 0.54 0.59 3.97311619
PQ10 common 26 8 21 16 32 0.56 0.57 3.88957152
PQ11 common 26 7 19 18 31 0 0 4.095317796
PQ12 common 24 8 21 15 32 0.56 0.57 3.685268405
PQ13 common 27 8 22 15 32 0.57 0.62 3.994262536
PQ14 common 23 8 19 15 31 0.52 0.59 3.730966313
PQ15 common 25 8 20 16 32 0 0 3.513526291
PQ16 common 23 7 16 15 34 0.54 0.56 3.992058148
PQ17 common 23 8 16 16 33 0 0.57 3.926747106
PQ18 common 24 7 19 15 32 0.56 0.49 4.014915117
PQ19 common 24 7 20 13 31 0.48 0.51 3.539741433
AL1 common 27 8 21 16 32 0.45 0.45 3.382939409
AL2 common 26 6 20 15 31 0.55 0.58 3.319146797
AL3 common 26 8 20 16 31 0 0.52 3.981021579
AL4 common 24 8 21 14 32 0.45 0.54 3.217743142
AL5 common 26 7 20 16 33 0.59 0.64 3.823495155
AL6 common 25 9 21 15 29 0.43 0.45 3.330264022
AL7 common 24 7 19 14 31 0.48 0.53 3.470029731
AL9 common 26 8 21 17 32 0.44 0.5 3.409849144
AL16 common 22 8 20 13 33 0.65 0.63 3.83865653
AL17 common 25 8 20 16 31 0.58 0.61 3.863338113
