id sex csize cluster PC1 PC2 PC3 PC4 PC5 PC6
BR18 F 6.48409334715032 cbr -0.0509014845703035 0.00975750006895085 -0.0161304635421128 0.0082178513219483 -0.0569168086099941 -0.0128516391560768
BR19 M 7.47269913329099 cbr 0.0133624749449879 -0.000727482338918096 -0.0063543937384425 0.00292069712875215 0.0318479621692042 -0.0160860702424135
BR20 F 6.9261465476584 cbr -0.0162450164584984 -0.000777648051616395 -0.0029860202491761 0.00994222892958776 -0.0059501164407106 0.0102486028440609
BR21 M 6.20799376640874 cbr -0.00978846211569621 -0.00438369538391537 -0.0208246705601693 0.00768191882233239 -0.000414188517479059 -0.00916653949470547
BR23 F 7.06544083250817 cbr -0.0472974945883033 0.0141691492393126 -0.000302996064570191 -0.00205964081994512 0.044746262964759 0.0143119335196254
BR24 M 6.93915065101779 cbr -0.000877138395644333 -0.000671084728937925 0.00785406966804839 0.00503812203132943 -0.0115954310338566 0.00849566199795344
BR25 F 7.08152659909348 cbr 0.00119269810819763 0.0055678617560246 -0.00161371329145093 -0.00318653872199592 -0.00483098733049422 -0.00504719367820891
BR26 NA 7.08105293199063 cbr 0.0123134129261564 0.0156287735311858 -0.000282121509176938 0.00184829751624346 -0.00839509089069658 0.0048591530494558
BR28 F 6.25453884629419 cbr -0.00694417531229357 0.00791788686879609 0.004123615733974 0.0031760231933534 0.0204721555083967 -0.0025813728986563
BR29 M 6.25975151577051 cbr 0.0104447366325432 0.00853300373175627 0.000837511489441086 0.0091537356852588 -0.0139445068967369 0.00986199995057704
BR31 M 6.26585811714695 cbr -0.00367909575046535 0.00574053730766545 -0.00489152937696106 0.00319695027082169 -0.0147431570327847 0.000769423064501044
BR32 M 6.2005275711539 cbr 0.0210256695184428 0.00598321800845718 0.0129454616505625 0.00402127929646516 0.0193925106119952 0.0106607066265289
BR33 F 7.1400274082712 cbr -0.0273512601248667 -0.0157339261951122 -0.00164755328061104 -0.0106217058033941 -0.0328095550319994 0.00141978768193527
BR36 M 6.35339189534958 cbr 0.0140819951717799 -0.00573594987549443 -0.000357756969050078 0.00475412727386382 -0.0130317853790731 0.00277817227080904
BR37 F 7.12839249394118 cbr -0.0247653845461079 -0.00497966157692728 0.0033293550599769 0.00959155223767724 -0.0196940202983174 -0.002554508808198
CL11 M 7.15223259354975 cmn -0.0149574561911566 0.00839044489353385 0.000630242875140881 -0.0112016302070891 0.0534936177664016 0.0149190568614023
CL12 M 6.70966439169771 cmn 0.00855313485484865 -0.0115566883629568 0.0231978103844856 -0.00854951538910228 0.0292188509359965 0.000493953239995547
CL17 F 6.09165717715115 cmn 0.0671362916871516 0.00785760900433819 0.00372742361837447 0.00167556614779872 0.0349344466093895 0.0234749418154373
CL19 M 4.83413757234958 wht 0.0351042609544564 -0.00969138675654353 0.0106861717519597 -0.0138371108925564 -0.00212867936623155 0.0113659844201121
CL21 M 4.71459011294619 wht 0.020544225632708 -0.00100085451639754 -0.0002163774638615 -0.00313164334171968 -0.00757352569264241 -0.00193921172090478
CL23 M 5.7555743204664 cmn 0.0428037114313042 0.00331316272802216 0.0108293852470056 -0.00406160241233772 0.0019447754625671 0.000325268948088978
CL24 F 6.77356525904816 cmn -0.00948542952297485 -0.00303178746914569 0.00809679998656449 -0.00212269642454029 -0.0117265779449174 0.014629002111137
CL25 M 4.25382528438179 wht 0.00694425728640521 0.00185663982284866 0.00308457674127159 -0.00782252425546574 -0.00932961012883953 -0.0112117858157486
CL27 F 6.62127267349492 cmn 0.0270124079090214 -0.0075962960530552 -0.00458354651954644 0.0137733711406793 0.0132798229015609 -0.0142452705705828
CL28 M 5.66790629083679 cmn 0.0181408447743079 0.0088239679219334 -0.00798066238426982 -0.0105470290795319 0.00930801804483253 0.00073521339109604
CL29 M 4.69968461387469 wht -0.0217255610668318 0.00662246424868344 0.00156099313796485 -0.00459605759025713 0.0201711186855018 0.00763994981985357
CL31 F 4.94645345442402 wht 0.0361636672186819 -0.0054256215785568 -0.0119732767078927 0.00330572996506998 0.00798400347869677 0.00163113252784732
CL33 F 4.70883834146583 wht 0.02470332437053 0.00669691287791089 -0.0112682191818837 0.000290733551769944 0.0310075866090148 -0.00455967778754024
CL38 M 6.13135821971878 cmn -0.00705351331268505 -0.0120267149355472 -0.00765363444673041 0.00428079636651619 -0.0247008015924604 -0.00380861390840557
CL39 M 4.62452946772029 wht 0.0361399342607863 0.00376574226655398 -0.0116269498841626 0.00194630325051268 0.0115110584186764 -0.000217874329411459
CL40 F 4.43342463558801 wht -0.00664565020908586 0.00800230404154666 -0.00921389417723134 0.00730781406470439 0.00876349056568757 0.00261079419617953
CL41 F 5.09676343877282 wht 0.0084711049576226 0.00826646274543962 0.000215968818785706 -0.00342788776455744 0.00344422227530703 0.00181982534273131
CL42 M 4.35387107741965 wht -0.0640153070722122 -0.00149190179657276 0.00415674808404094 -6.21178312547229e-05 -0.0200941833610943 0.0197966530586261
CL43 NA 6.68144806212611 cmn -0.00435279736154608 0.00546735656343546 -0.00558216944635736 0.0126159829723991 -0.0199920489479882 -0.00755433647968533
CL45 M 4.25985484634141 wht 0.0632016374314315 -0.00380369122366746 0.00852813995213746 0.00651743941300062 0.0190888160245561 -0.0104414496759005
CL47 F 4.91350924942961 wht 0.0333034612824704 0.012179647279517 -0.000185058681527913 -0.0107564071505699 -0.00400886351218931 0.00423753764652474
CL50 F 6.57073413708997 cmn 0.0262205647213256 0.0120549987928609 0.000197245854127672 -0.00703119916116522 0.0155028376419954 -0.0188049190948269
